# YYYY MM DD HHMM  Lon(deg)  Lat(deg)  Dist(AU)
2016 11 27 0000  292.764442  2.402203  110.132477
2016 11 28 0000  292.764189  2.402222  110.098924
2016 11 29 0000  292.763936  2.402241  110.065371
2016 11 30 0000  292.763682  2.402259  110.031818
2016 12 01 0000  292.763428  2.402278  109.998265
2016 12 02 0000  292.763174  2.402297  109.964712
2016 12 03 0000  292.762920  2.402316  109.931158
2016 12 04 0000  292.762666  2.402335  109.897605
2016 12 05 0000  292.762412  2.402353  109.864052
2016 12 06 0000  292.762157  2.402372  109.830499
2016 12 07 0000  292.761903  2.402391  109.796946
2016 12 08 0000  292.761648  2.402410  109.763392
2016 12 09 0000  292.761393  2.402429  109.729839
2016 12 10 0000  292.761138  2.402448  109.696286
2016 12 11 0000  292.760883  2.402467  109.662732
2016 12 12 0000  292.760627  2.402486  109.629179
2016 12 13 0000  292.760372  2.402505  109.595626
2016 12 14 0000  292.760116  2.402524  109.562072
2016 12 15 0000  292.759860  2.402543  109.528519
2016 12 16 0000  292.759604  2.402562  109.494966
2016 12 17 0000  292.759348  2.402581  109.461412
2016 12 18 0000  292.759091  2.402600  109.427859
2016 12 19 0000  292.758835  2.402619  109.394305
2016 12 20 0000  292.758578  2.402638  109.360752
2016 12 21 0000  292.758321  2.402657  109.327198
2016 12 22 0000  292.758064  2.402676  109.293644
2016 12 23 0000  292.757807  2.402695  109.260091
2016 12 24 0000  292.757550  2.402714  109.226537
2016 12 25 0000  292.757292  2.402733  109.192984
2016 12 26 0000  292.757035  2.402752  109.159430
2016 12 27 0000  292.756777  2.402771  109.125876
2016 12 28 0000  292.756519  2.402790  109.092323
2016 12 29 0000  292.756261  2.402809  109.058769
2016 12 30 0000  292.756002  2.402828  109.025215
2016 12 31 0000  292.755744  2.402848  108.991661
2017 01 01 0000  292.755485  2.402867  108.958107
2017 01 02 0000  292.755227  2.402886  108.924554
2017 01 03 0000  292.754968  2.402905  108.891000
2017 01 04 0000  292.754709  2.402924  108.857446
2017 01 05 0000  292.754450  2.402943  108.823892
2017 01 06 0000  292.754190  2.402963  108.790338
2017 01 07 0000  292.753931  2.402982  108.756784
2017 01 08 0000  292.753671  2.403001  108.723230
2017 01 09 0000  292.753411  2.403020  108.689676
2017 01 10 0000  292.753151  2.403040  108.656122
2017 01 11 0000  292.752891  2.403059  108.622568
2017 01 12 0000  292.752630  2.403078  108.589014
2017 01 13 0000  292.752370  2.403098  108.555460
2017 01 14 0000  292.752109  2.403117  108.521906
2017 01 15 0000  292.751848  2.403136  108.488352
2017 01 16 0000  292.751587  2.403156  108.454798
2017 01 17 0000  292.751326  2.403175  108.421244
2017 01 18 0000  292.751065  2.403194  108.387689
2017 01 19 0000  292.750804  2.403214  108.354135
2017 01 20 0000  292.750542  2.403233  108.320581
2017 01 21 0000  292.750280  2.403252  108.287027
2017 01 22 0000  292.750018  2.403272  108.253473
2017 01 23 0000  292.749756  2.403291  108.219918
2017 01 24 0000  292.749494  2.403311  108.186364
2017 01 25 0000  292.749231  2.403330  108.152810
2017 01 26 0000  292.748969  2.403350  108.119255
2017 01 27 0000  292.748706  2.403369  108.085701
2017 01 28 0000  292.748443  2.403389  108.052146
2017 01 29 0000  292.748180  2.403408  108.018592
2017 01 30 0000  292.747917  2.403428  107.985037
2017 01 31 0000  292.747653  2.403447  107.951483
2017 02 01 0000  292.747390  2.403467  107.917928
2017 02 02 0000  292.747126  2.403486  107.884374
2017 02 03 0000  292.746862  2.403506  107.850819
2017 02 04 0000  292.746598  2.403525  107.817265
2017 02 05 0000  292.746333  2.403545  107.783710
2017 02 06 0000  292.746069  2.403564  107.750156
2017 02 07 0000  292.745804  2.403584  107.716601
2017 02 08 0000  292.745540  2.403604  107.683046
2017 02 09 0000  292.745275  2.403623  107.649492
2017 02 10 0000  292.745010  2.403643  107.615937
2017 02 11 0000  292.744745  2.403663  107.582382
2017 02 12 0000  292.744479  2.403682  107.548827
2017 02 13 0000  292.744214  2.403702  107.515273
2017 02 14 0000  292.743948  2.403722  107.481718
2017 02 15 0000  292.743682  2.403741  107.448163
2017 02 16 0000  292.743416  2.403761  107.414608
2017 02 17 0000  292.743150  2.403781  107.381053
2017 02 18 0000  292.742883  2.403800  107.347498
2017 02 19 0000  292.742617  2.403820  107.313943
2017 02 20 0000  292.742350  2.403840  107.280388
2017 02 21 0000  292.742083  2.403860  107.246833
2017 02 22 0000  292.741816  2.403880  107.213278
2017 02 23 0000  292.741549  2.403899  107.179723
2017 02 24 0000  292.741281  2.403919  107.146168
2017 02 25 0000  292.741014  2.403939  107.112613
2017 02 26 0000  292.740746  2.403959  107.079058
2017 02 27 0000  292.740478  2.403979  107.045503
2017 02 28 0000  292.740210  2.403999  107.011948
2017 03 01 0000  292.739942  2.404018  106.978393
2017 03 02 0000  292.739673  2.404038  106.944838
2017 03 03 0000  292.739405  2.404058  106.911282
2017 03 04 0000  292.739136  2.404078  106.877727
2017 03 05 0000  292.738867  2.404098  106.844172
2017 03 06 0000  292.738598  2.404118  106.810617
2017 03 07 0000  292.738329  2.404138  106.777061
2017 03 08 0000  292.738059  2.404158  106.743506
2017 03 09 0000  292.737790  2.404178  106.709951
2017 03 10 0000  292.737520  2.404198  106.676395
2017 03 11 0000  292.737250  2.404218  106.642840
2017 03 12 0000  292.736980  2.404238  106.609284
2017 03 13 0000  292.736710  2.404258  106.575729
2017 03 14 0000  292.736439  2.404278  106.542174
2017 03 15 0000  292.736169  2.404298  106.508618
2017 03 16 0000  292.735898  2.404318  106.475063
2017 03 17 0000  292.735627  2.404338  106.441507
2017 03 18 0000  292.735356  2.404358  106.407951
2017 03 19 0000  292.735084  2.404378  106.374396
2017 03 20 0000  292.734813  2.404398  106.340840
2017 03 21 0000  292.734541  2.404418  106.307285
2017 03 22 0000  292.734269  2.404439  106.273729
2017 03 23 0000  292.733997  2.404459  106.240173
2017 03 24 0000  292.733725  2.404479  106.206618
2017 03 25 0000  292.733453  2.404499  106.173062
2017 03 26 0000  292.733180  2.404519  106.139506
