# YYYY MM DD HHMM  Lon_sid(deg)  Lat(deg)  Dist(AU)  Ayanamsa(deg)
2016 12 19 0000  267.560929  2.383309  110.284772  24.975401
2016 12 20 0000  267.568846  2.383165  110.258478  24.975432
2016 12 21 0000  267.576840  2.383027  110.231908  24.975457
2016 12 22 0000  267.584901  2.382895  110.205060  24.975481
2016 12 23 0000  267.593025  2.382769  110.177932  24.975507
2016 12 24 0000  267.601207  2.382649  110.150522  24.975539
2016 12 25 0000  267.609440  2.382535  110.122826  24.975579
2016 12 26 0000  267.617722  2.382427  110.094844  24.975627
2016 12 27 0000  267.626051  2.382326  110.066572  24.975683
2016 12 28 0000  267.634425  2.382230  110.038010  24.975745
2016 12 29 0000  267.642845  2.382141  110.009155  24.975811
2016 12 30 0000  267.651312  2.382057  109.980006  24.975877
2016 12 31 0000  267.659825  2.381981  109.950562  24.975940
2017 01 01 0000  267.668386  2.381910  109.920821  24.975995
2017 01 02 0000  267.676995  2.381846  109.890781  24.976041
2017 01 03 0000  267.685649  2.381788  109.860443  24.976077
2017 01 04 0000  267.694344  2.381737  109.829805  24.976104
2017 01 05 0000  267.703073  2.381693  109.798867  24.976126
2017 01 06 0000  267.711829  2.381654  109.767628  24.976149
2017 01 07 0000  267.720602  2.381623  109.736088  24.976178
2017 01 08 0000  267.729384  2.381598  109.704247  24.976219
2017 01 09 0000  267.738170  2.381580  109.672105  24.976274
2017 01 10 0000  267.746958  2.381568  109.639661  24.976343
2017 01 11 0000  267.755752  2.381563  109.606916  24.976419
2017 01 12 0000  267.764555  2.381564  109.573870  24.976496
2017 01 13 0000  267.773375  2.381572  109.540523  24.976566
2017 01 14 0000  267.782212  2.381587  109.506874  24.976622
2017 01 15 0000  267.791067  2.381608  109.472924  24.976665
2017 01 16 0000  267.799935  2.381636  109.438673  24.976694
2017 01 17 0000  267.808809  2.381671  109.404120  24.976716
2017 01 18 0000  267.817682  2.381712  109.369266  24.976734
2017 01 19 0000  267.826546  2.381759  109.334111  24.976753
2017 01 20 0000  267.835395  2.381813  109.298654  24.976776
2017 01 21 0000  267.844224  2.381874  109.262897  24.976806
2017 01 22 0000  267.853030  2.381941  109.226840  24.976844
2017 01 23 0000  267.861809  2.382015  109.190483  24.976890
2017 01 24 0000  267.870559  2.382095  109.153828  24.976943
2017 01 25 0000  267.879281  2.382181  109.116874  24.977000
2017 01 26 0000  267.887973  2.382274  109.079623  24.977058
2017 01 27 0000  267.896639  2.382374  109.042076  24.977114
2017 01 28 0000  267.905277  2.382480  109.004235  24.977163
2017 01 29 0000  267.913889  2.382592  108.966100  24.977203
2017 01 30 0000  267.922472  2.382711  108.927673  24.977232
2017 01 31 0000  267.931024  2.382837  108.888956  24.977251
2017 02 01 0000  267.939537  2.382969  108.849952  24.977264
2017 02 02 0000  267.948005  2.383107  108.810661  24.977275
2017 02 03 0000  267.956417  2.383251  108.771087  24.977291
2017 02 04 0000  267.964767  2.383402  108.731232  24.977317
2017 02 05 0000  267.973049  2.383559  108.691098  24.977356
2017 02 06 0000  267.981260  2.383723  108.650687  24.977408
2017 02 07 0000  267.989401  2.383892  108.610003  24.977468
2017 02 08 0000  267.997477  2.384068  108.569047  24.977532
2017 02 09 0000  268.005493  2.384250  108.527823  24.977591
2017 02 10 0000  268.013451  2.384438  108.486332  24.977641
2017 02 11 0000  268.021353  2.384632  108.444578  24.977676
2017 02 12 0000  268.029196  2.384832  108.402562  24.977699
2017 02 13 0000  268.036976  2.385038  108.360287  24.977711
2017 02 14 0000  268.044685  2.385249  108.317756  24.977717
2017 02 15 0000  268.052316  2.385466  108.274970  24.977723
2017 02 16 0000  268.059862  2.385689  108.231934  24.977732
2017 02 17 0000  268.067319  2.385918  108.188648  24.977747
2017 02 18 0000  268.074682  2.386152  108.145117  24.977770
2017 02 19 0000  268.081948  2.386391  108.101342  24.977801
2017 02 20 0000  268.089117  2.386636  108.057328  24.977839
2017 02 21 0000  268.096187  2.386887  108.013076  24.977882
2017 02 22 0000  268.103160  2.387142  107.968591  24.977928
2017 02 23 0000  268.110036  2.387403  107.923875  24.977973
2017 02 24 0000  268.116816  2.387669  107.878932  24.978013
2017 02 25 0000  268.123502  2.387940  107.833765  24.978045
2017 02 26 0000  268.130094  2.388217  107.788378  24.978066
2017 02 27 0000  268.136590  2.388498  107.742775  24.978077
2017 02 28 0000  268.142984  2.388784  107.696961  24.978080
2017 03 01 0000  268.149270  2.389075  107.650938  24.978080
2017 03 02 0000  268.155439  2.389371  107.604712  24.978083
2017 03 03 0000  268.161483  2.389672  107.558286  24.978096
2017 03 04 0000  268.167397  2.389977  107.511666  24.978121
2017 03 05 0000  268.173179  2.390287  107.464855  24.978160
2017 03 06 0000  268.178831  2.390602  107.417859  24.978208
2017 03 07 0000  268.184356  2.390920  107.370680  24.978260
2017 03 08 0000  268.189760  2.391244  107.323325  24.978309
2017 03 09 0000  268.195046  2.391571  107.275797  24.978351
2017 03 10 0000  268.200217  2.391902  107.228100  24.978381
2017 03 11 0000  268.205273  2.392238  107.180239  24.978398
2017 03 12 0000  268.210209  2.392577  107.132217  24.978405
2017 03 13 0000  268.215021  2.392920  107.084039  24.978404
2017 03 14 0000  268.219702  2.393267  107.035710  24.978402
2017 03 15 0000  268.224248  2.393617  106.987232  24.978401
2017 03 16 0000  268.228651  2.393971  106.938611  24.978407
2017 03 17 0000  268.232910  2.394329  106.889851  24.978420
2017 03 18 0000  268.237022  2.394689  106.840955  24.978442
2017 03 19 0000  268.240986  2.395053  106.791930  24.978472
2017 03 20 0000  268.244802  2.395419  106.742778  24.978507
2017 03 21 0000  268.248473  2.395789  106.693504  24.978547
2017 03 22 0000  268.251998  2.396162  106.644113  24.978587
2017 03 23 0000  268.255382  2.396537  106.594610  24.978624
2017 03 24 0000  268.258625  2.396916  106.545000  24.978654
2017 03 25 0000  268.261729  2.397296  106.495287  24.978676
2017 03 26 0000  268.264694  2.397680  106.445476  24.978688
2017 03 27 0000  268.267518  2.398066  106.395573  24.978690
2017 03 28 0000  268.270195  2.398454  106.345582  24.978688
2017 03 29 0000  268.272719  2.398844  106.295510  24.978686
2017 03 30 0000  268.275081  2.399237  106.245360  24.978694
2017 03 31 0000  268.277275  2.399632  106.195140  24.978715
2017 04 01 0000  268.279299  2.400028  106.144853  24.978750
